announcement_date,effective_date,index_name,action,company_name,ticker,gics_sector,source_type,source_url,notes
2023-09-01,2023-09-18,S&P 500,Deletion,Lincoln National,LNC,Financials,S&P DJI Press Release,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-09-01,2023-09-18,S&P 500,Deletion,Newell Brands,NWL,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-09-28,2023-10-02,S&P 500,Addition,Veralto,VLTO,Industrials,S&P DJI Press Release,https://press.spglobal.com/2023-09-28-Veralto-Set-to-Join-S-P-500-Vestis-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,"Danaher spin-off; addition occurs one day before DXC deletion"
2023-09-28,2023-10-03,S&P 500,Deletion,DXC Technologies,DXC,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2023-09-28-Veralto-Set-to-Join-S-P-500-Vestis-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,"Moved to S&P SmallCap 600"
2023-10-13,2023-10-18,S&P 500,Addition,Lululemon Athletica,LULU,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2023-10-13-Lululemon-Athletica-Hubbell-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Replaced Activision Blizzard"
2023-10-13,2023-10-18,S&P 500,Addition,Hubbell,HUBB,Industrials,S&P DJI Press Release,https://press.spglobal.com/2023-10-13-Lululemon-Athletica-Hubbell-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Replaced Organon & Co"
2023-10-13,2023-10-18,S&P 500,Deletion,Activision Blizzard,ATVI,Communication Services,S&P DJI Press Release,https://press.spglobal.com/2023-10-13-Lululemon-Athletica-Hubbell-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Acquired by Microsoft"
2023-10-13,2023-10-18,S&P 500,Deletion,Organon & Co,OGN,Health Care,S&P DJI Press Release,https://press.spglobal.com/2023-10-13-Lululemon-Athletica-Hubbell-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Moved to S&P SmallCap 600"
2023-12-01,2023-12-18,S&P 500,Addition,Uber Technologies,UBER,Industrials,S&P DJI Press Release,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-12-01,2023-12-18,S&P 500,Addition,Jabil,JBL,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-12-01,2023-12-18,S&P 500,Addition,Builders FirstSource,BLDR,Industrials,S&P DJI Press Release,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-12-01,2023-12-18,S&P 500,Deletion,Sealed Air,SEE,Materials,S&P DJI Press Release,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
