security_key,latest_project_ticker,canonical_company_name,membership_company_name,membership_valid_from,membership_valid_to_exclusive,left_censored,right_censored,entry_source_url,exit_source_url,stage3b2_candidate_sec_cik,resolved_sec_cik,cik_resolution_basis,known_in_membership_public_name_event_count,known_in_membership_legal_only_name_event_count,known_in_membership_ticker_only_event_count,unexpected_in_membership_sec_former_name_signal_count,final_no_nport_disposition,name_state_resolution_basis,resolution_status
KMX,KMX,CarMax,CarMax,2021-01-01,2025-10-31,True,False,,https://press.spglobal.com/2025-10-27-Solstice-Advance-Materials-and-Qnity-Electronics-Set-to-Join-S-P-500-Others-to-Join-S-P-SmallCap-600,0001170010,0001170010,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
KSU,KSU,Kansas City Southern,Kansas City Southern,2021-01-01,2021-12-14,True,False,,https://press.spglobal.com/2021-12-07-EPAM-Systems-Set-to-Join-S-P-500,0000054480,0000054480,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
LEG,LEG,Leggett & Platt,Leggett & Platt,2021-01-01,2021-12-20,True,False,,https://press.spglobal.com/2021-12-03-Signature-Bank%2C-SolarEdge-Technologies-and-FactSet-Research-Systems-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0000058492,0000058492,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
LKQ,LKQ,LKQ,LKQ,2021-01-01,2025-12-22,True,False,,https://press.spglobal.com/2025-12-05-CRH%2C-Carvana-and-Comfort-Systems-USA-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0001065696,0001065696,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
LNC,LNC,Lincoln National,Lincoln National,2021-01-01,2023-09-18,True,False,,https://press.spglobal.com/2023-09-01-Blackstone-and-Airbnb-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,0000059558,0000059558,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
MBC,MBC,MasterBrand,MasterBrand,2022-12-15,2022-12-19,False,False,https://press.spglobal.com/2022-12-12-First-Solar-Set-to-Join-S-P-500-Fortune-Brands-Innovations-to-Join-S-P-MidCap-400-MasterBrand-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2022-12-12-First-Solar-Set-to-Join-S-P-500-Fortune-Brands-Innovations-to-Join-S-P-MidCap-400-MasterBrand-to-Join-S-P-SmallCap-600,0001941365,0001941365,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
MHK,MHK,Mohawk Industries,Mohawk Industries,2021-01-01,2025-12-22,True,False,,https://press.spglobal.com/2025-12-05-CRH%2C-Carvana-and-Comfort-Systems-USA-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0000851968,0000851968,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
MKTX,MKTX,MarketAxess Holdings,MarketAxess Holdings,2021-01-01,2025-09-22,True,False,,https://press.spglobal.com/2025-09-05-AppLovin%2C-Robinhood-Markets-and-Emcor-Group-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,0001278021,0001278021,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
MOH,MOH,Molina Healthcare,Molina Healthcare,2022-03-02,2026-01-01,False,True,https://press.spglobal.com/2022-02-25-Molina-Healthcare-Set-to-Join-S-P-500-Range-Resources-to-Join-S-P-MidCap-400-Golden-Entertainment-to-Join-S-P-SmallCap-600,,0001179929,0001179929,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
MTCH,MTCH,Match Group,Match Group,2021-09-20,2026-01-01,False,True,https://press.spglobal.com/2021-09-03-Match-Group%2C-Ceridian-HCM-and-Brown-Brown-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,,0000891103,0000891103,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
