filename,catalog_md5,catalog_size_bytes
20131012.gkg.csv.zip,c1abf42ca031ef6be21f7c029c3a36e5,11781199
20131013.gkg.csv.zip,ca154723a66d91cd8a10b794dc867a50,11390543
20131014.gkg.csv.zip,bccdc1983f2e68d2142ada68a3e24516,17910617
20131015.gkg.csv.zip,b4877d1e4d9c94146b39b4690dc92c54,20545429
20131016.gkg.csv.zip,5dbaaf620984ac5f2c51b4d3ab2cab5c,20712701
20131017.gkg.csv.zip,475597d71864a9924f6efdc704e080f0,20701267
20131018.gkg.csv.zip,ca9a69c815c203703e4a8d3bdd5777db,19495606
20131019.gkg.csv.zip,5d2516132dda2b6e1851c67f1716811f,11413624
20131020.gkg.csv.zip,641ca11e8962a1694314dd94916549fc,11685199
20131021.gkg.csv.zip,f9507c165c669f48d21dd9e4e83e91c3,8405506
20131022.gkg.csv.zip,2e945ffc98e310ee5513bc5460878aee,21362125
20131023.gkg.csv.zip,3fd5414b5853ce89e7e05166be062b8f,19518612
20131024.gkg.csv.zip,b9a2ae956bbcbec9e66325cfcc026c33,20454550
20131025.gkg.csv.zip,da85f7fffcaa0c65b3fd9b860350412f,19211150
20131026.gkg.csv.zip,f2f4b4492cda99a9add67e84a7a87575,10579054
20131027.gkg.csv.zip,fbf90e9acbc6fd89ba22e799dd2450a7,11454839
20131028.gkg.csv.zip,aed418d777f89176fd868e9874abcefe,19943138
20131029.gkg.csv.zip,f2d4dd15c5d0756ae4f7b8f6cbff8dee,21115158
20131030.gkg.csv.zip,9fa4071aa39bb515a1a00f218a497df8,18580188
20131031.gkg.csv.zip,08f19da4366585069060108072aef28e,20683071
20131101.gkg.csv.zip,412adc03b1e265d2a2dfc4670c9cf547,16595704
20131102.gkg.csv.zip,ec19d04a84f750a7fb7b3425cff65404,10685000
20131103.gkg.csv.zip,638eed08008b6ec3c851c994d917375a,10021963
20131104.gkg.csv.zip,153bb5dd6a39fd9f857d2875f22ebd0c,12422381
20131105.gkg.csv.zip,2c557d6b632df374d3bc60b32a7c004b,18489517
20131106.gkg.csv.zip,521d4fc708b06ce8a488e7c2ef2b2514,19041157
20131107.gkg.csv.zip,cd5824441d16913303273660e2d7c3ba,19125855
20131108.gkg.csv.zip,b813e76f84628bb605476d380e766549,15013559
20131109.gkg.csv.zip,6ff5804b93ad2e6901c29ca3ef2c6c0b,11603771
20131110.gkg.csv.zip,97fb5d972e3f9beccf1dcd45ef6d5107,11701811
20131111.gkg.csv.zip,1c838524e9b94d149a04a1cdbec689cd,17317588
20131112.gkg.csv.zip,4ef3b907b8e02923af320b149715a278,20909392
20131113.gkg.csv.zip,15016636263571fa51b0ae5482d62dfc,21023478
20131114.gkg.csv.zip,e9b83cfb3e2c9ad14afce0f6150941dc,20506003
20131115.gkg.csv.zip,6bf45c3c45d2d3a78927f957a1082526,18297339
20131116.gkg.csv.zip,c817615a0fcccb366604728f655873aa,8013925
20131117.gkg.csv.zip,f261fcbcfff277e1f747bb27efaf8aa3,11174957
20131118.gkg.csv.zip,2e3fe912e6f786cba5dcc4f812620815,20379979
20131119.gkg.csv.zip,7025bed5220771206359a524c1975d10,21130735
20131120.gkg.csv.zip,ad3bcb1e4f823bc26e4d864ce194619c,21055587
20131121.gkg.csv.zip,fba0bb854dbdd3eaa9e7ca432c0dcea9,21145326
20131122.gkg.csv.zip,2064f866578f14102aeeb6a065469c9c,18363497
20131123.gkg.csv.zip,5126d05a99db996b5a2c2de4056b95ae,10155146
20131124.gkg.csv.zip,38c67b03b3835a2cbf1ad70fb1f649cd,11127084
20131125.gkg.csv.zip,9e4778c40b5a6f8778af67a772b9a8a0,19311412
20131126.gkg.csv.zip,a28310b241c44a8ae639d6672562439d,20521565
20131127.gkg.csv.zip,97a83b569ab51324ca806c28d706c395,19470947
20131128.gkg.csv.zip,98155180235b7214e5cf52388e353571,14672266
20131129.gkg.csv.zip,04cdbfce365793755183426ba349122a,14786199
20131130.gkg.csv.zip,b27fb1b695bd75319318574f1ff811a9,7636769
20131201.gkg.csv.zip,90bb481269ffb05407486f42fbd6c77e,1777737
20131202.gkg.csv.zip,eea4f25e4196ae2337bcec252f4b5212,3344842
20131203.gkg.csv.zip,02ad26a78e6e32e059f1fe1d0c3a9137,3464966
20131204.gkg.csv.zip,b2550c6a19ed4b5ba6dfb6fce9a80b3c,4774688
20131205.gkg.csv.zip,e28817a66e7eea58bcaff98de0607916,19203245
20131206.gkg.csv.zip,d8372a14408bc7e742a1e20357ccd967,17316728
20131207.gkg.csv.zip,6dc77cbd330eb8be72c326c955effb15,10136616
20131208.gkg.csv.zip,5477ba2a712fabc1253d6d3e424b1703,3850171
20131209.gkg.csv.zip,e02a999539fe180aebf1bb617be59f06,18244103
20131210.gkg.csv.zip,e91941e3fe645d3b287f6679c9b5c9e2,19259902
20131211.gkg.csv.zip,7c7ae722aef84e65cc64eae1c4fd8cb3,15315722
20131212.gkg.csv.zip,850dcad026fd9bbf14fa4ca58ee35ab6,19582712
20131213.gkg.csv.zip,c3d2ef3f12144ca9247840c0fc681812,17536254
20131214.gkg.csv.zip,5e6e50a07e96d32282d839c473387a1c,9374535
20131215.gkg.csv.zip,9169a1d3a047a912ad3b8f53f491d312,10547335
20131216.gkg.csv.zip,647519b118456ab12152aaab678a2c19,18688058
20131217.gkg.csv.zip,69a933439c82ee5a9a70b402f391cb97,19068178
20131218.gkg.csv.zip,72fed1275b0e16a8cc74c9a3ebe74057,16641849
20131219.gkg.csv.zip,b1f2bfe9393c0ca3d0d02dee88d4dd6f,18860705
20131220.gkg.csv.zip,fe7f10b89d74454c30a193524852eaa6,16894187
20131221.gkg.csv.zip,76e3b17dfcb44f89b668ac015b77589c,9598950
20131222.gkg.csv.zip,2bd6c40c900245fd5ffa8649bdbde2ef,9757504
20131223.gkg.csv.zip,822122cee3cf5faf656ac0ca5366c3a3,14940128
20131224.gkg.csv.zip,e4c424a01d1b890d68a75b98a69a8dc4,11904614
20131225.gkg.csv.zip,70c83549ddfcb5f86d066d34b6f22750,8795783
20131226.gkg.csv.zip,2a23d58b60bf620e2b5fd1e101b19376,12375964
20131227.gkg.csv.zip,9a4de32d4c543b3b9e18fb0f70e36d44,13066107
20131228.gkg.csv.zip,0fb5d1edc211f469b00a2e9746fbc62b,8193740
20131229.gkg.csv.zip,debc8695893947a8709f8bc8352ba6ad,8770222
20131230.gkg.csv.zip,ad59ae51a3321c3ffb74d63c91e18907,13835927
20131231.gkg.csv.zip,9c1aa8756d2f10b8ccf208effcf06ef8,12869520
