window_id,security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,alias_selection_reason,authoritative_name_source_layer,eligible_days,nonzero_days,matched_source_document_weight,total_source_document_weight,attention_share,strict_nonzero_window_flag
W2021,CLX,0000021076,CLX,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CMA,0000028412,CMA,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3I_MEMBERSHIP_NAME,7,5,9,768867,1.1705535547760536e-05,1
W2021,CMCSA,0001166691,CMCSA,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,755,768867,0.0009819643709510228,1
W2021,CME,0001156375,CME,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,1,2,768867,2.6012301217245635e-06,1
W2021,CMG,0001058090,CMG,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,6,73,768867,9.494489944294657e-05,1
W2021,CMI,0000026172,CMI,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,45,768867,5.852767773880268e-05,1
W2021,CMS,0000811156,CMS,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CNC,0001071739,CNC,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,4,4,768867,5.202460243449127e-06,1
W2021,CNP,0001130310,CNP,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,14,768867,1.8208610852071944e-05,1
W2021,COF,0000927628,COF,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,19,768867,2.4711686156383354e-05,1
W2021,COO,0000711404,COO,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,COP,0001163165,COP,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,115,768867,0.0001495707319991624,1
W2021,COR,0001140859,COR,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,21,768867,2.7312916278107918e-05,1
W2021,COST,0000909832,COST,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,3,768867,3.901845182586845e-06,1
W2021,CPAY,0001175454,CPAY,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,1,3,768867,3.901845182586845e-06,1
W2021,CPB,0000016732,CPB,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,6,24,768867,3.121476146069476e-05,1
W2021,CPRT,0000900075,CPRT,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CRM,0001108524,CRM,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,15,768867,1.9509225912934226e-05,1
W2021,CSCO,0000858877,CSCO,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,472,768867,0.000613890308726997,1
W2021,CSX,0000277948,CSX,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CTAS,0000723254,CTAS,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CTLT,0001596783,CTLT,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3I_MEMBERSHIP_NAME,7,3,8,768867,1.0404920486898254e-05,1
W2021,CTRA,,CTRA,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,CTSH,0001058290,CTSH,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,41,768867,5.332521749535355e-05,1
W2021,CTVA,0001755672,CTVA,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,2,5,768867,6.503075304311409e-06,1
W2021,CTXS,0000877890,CTXS,MEDIUM,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,7,4,33,768867,4.29202970084553e-05,1
W2021,CVS,0000064803,CVS,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,3,4,768867,5.202460243449127e-06,1
W2021,CVX,0000093410,CVX,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,50,768867,6.503075304311409e-05,1
W2021,CXO,,CXO,MEDIUM,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,7,6,13,768867,1.6907995791209662e-05,1
W2021,D,0000715957,D,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,117,768867,0.00015217196212088697,1
W2021,DAL,0000027904,DAL,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,857,768867,0.0011146271071589755,1
W2021,DD,0001666700,DD,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,5,27,768867,3.511660664328161e-05,1
W2021,DE,0000315189,DE,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,0,0,768867,0.0,0
W2021,DFS,0001393612,DFS,LOW,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,7,0,0,768867,0.0,0
W2021,DG,0000029534,DG,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,4,8,768867,1.0404920486898254e-05,1
