security_key,latest_project_ticker,canonical_company_name,project_name_key,structural_ambiguity_tier,stage3b_mapping_status,candidate_sec_cik,sec_nport_observation_rows,sec_nport_in_membership_rows,sec_nport_pre_window_support_rows,sec_nport_unique_name_count,sec_nport_name_keys_pipe,sec_nport_raw_names_pipe,sec_nport_first_observed_date,sec_nport_last_observed_date,project_current_name_seen_in_sec_nport_flag,mapped_alias_event_count,project_period_alias_event_count,sec_former_name_count_for_cik,project_period_sec_former_name_count,pit_name_evidence_status,pit_name_review_flag,review_priority
HIG,HIG,HARTFORD INSURANCE GROUP INC,HARTFORD INSURANCE GROUP,LOW,AUTO_SOURCE_AGREEMENT,0000874766,21,20,1,2,HARTFORD FINANCIAL SERVICES GROUP|HARTFORD INSURANCE GROUP,Hartford Financial Services Group Inc/The|Hartford Insurance Group Inc/The,2020-12-31,2025-12-31,1,0,0,4,2,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
ILMN,ILMN,Illumina,ILLUMINA,HIGH,REVIEW_TICKER_ONLY,0001110803,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
INFO,INFO,IHS Markit,IHS MARKIT,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
IPG,IPG,Interpublic Group,INTERPUBLIC GROUP,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
IPGP,IPGP,IPG Photonics,IPG PHOTONICS,MEDIUM,REVIEW_TICKER_ONLY,0001111928,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
JNPR,JNPR,Juniper Networks,JUNIPER NETWORKS,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
K,K,Kellanova,KELLANOVA,HIGH,AUTO_UNIQUE_EXACT_NAME,0000055067,0,0,0,0,,,,,0,0,0,1,1,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
KMX,KMX,CarMax,CARMAX,HIGH,REVIEW_TICKER_ONLY,0001170010,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
KSU,KSU,Kansas City Southern,KANSAS CITY SOUTHERN,LOW,AUTO_UNIQUE_EXACT_NAME,0000054480,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
LEG,LEG,Leggett & Platt,LEGGETT AND PLATT,LOW,REVIEW_TICKER_ONLY,0000058492,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
LKQ,LKQ,LKQ,LKQ,HIGH,REVIEW_TICKER_ONLY,0001065696,0,0,0,0,,,,,0,0,0,1,1,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
LNC,LNC,Lincoln National,LINCOLN NATIONAL,MEDIUM,REVIEW_TICKER_ONLY,0000059558,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
LUMN,LUMN,Lumen Technologies,LUMEN TECHNOLOGIES,MEDIUM,REVIEW_TICKER_ONLY,0000018926,0,0,0,0,,,,,0,0,0,3,1,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
MBC,MBC,MasterBrand,MASTERBRAND,HIGH,REVIEW_TICKER_ONLY,0001941365,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
META,META,META PLATFORMS INC CLASS A,META PLATFORMS,LOW,REVIEW_TICKER_ONLY,0001326801,21,20,1,2,FACEBOOK|META PLATFORMS,Facebook Inc|Meta Platforms Inc,2020-12-31,2025-12-31,1,0,0,1,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
MHK,MHK,Mohawk Industries,MOHAWK INDUSTRIES,MEDIUM,REVIEW_TICKER_ONLY,0000851968,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
MKTX,MKTX,MarketAxess Holdings,MARKETAXESS,HIGH,REVIEW_TICKER_ONLY,0001278021,0,0,0,0,,,,,0,0,0,2,1,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
MOH,MOH,Molina Healthcare,MOLINA HEALTHCARE,MEDIUM,REVIEW_TICKER_ONLY,0001179929,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
MRO,MRO,Marathon Oil,MARATHON OIL,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
MTCH,MTCH,Match Group,MATCH GROUP,MEDIUM,REVIEW_TICKER_ONLY,0000891103,0,0,0,0,,,,,0,0,0,6,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
