security_key,issuer_cik,issuer_cik_source,latest_project_ticker,structural_ambiguity_tier,ticker_like_exact_name_flag,membership_valid_from,membership_valid_to_exclusive,alias_valid_from,alias_valid_to_exclusive,authoritative_state_name,authoritative_name_source_layer,state_basis,full_normalized_alias,legal_core_alias,production_alias,alias_selection_reason,bare_ticker_qualification_source,matching_mode,policy_id,policy_sha256,bare_ticker_alias_flag
AMD,0000002488,STAGE3B2_CANDIDATE_CIK,AMD,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Advanced Micro Devices Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,advanced micro devices inc,advanced micro devices,advanced micro devices,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AME,0001037868,STAGE3B2_CANDIDATE_CIK,AME,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,AMETEK Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,ametek inc,ametek,ametek inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AMGN,0000318154,STAGE3B2_CANDIDATE_CIK,AMGN,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Amgen Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,amgen inc,amgen,amgen inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AMP,0000820027,STAGE3B2_CANDIDATE_CIK,AMP,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Ameriprise Financial Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,ameriprise financial inc,ameriprise financial,ameriprise financial,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AMT,,,AMT,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,American Tower Corp,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,american tower corp,american tower,american tower,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AMTM,0002011286,STAGE3I_RESOLVED_CIK,AMTM,HIGH,0,2024-09-30,2024-12-23,2024-09-30,2024-12-23,Amentum,STAGE3I_MEMBERSHIP_NAME,STABLE,amentum,amentum,amentum,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AMZN,0001018724,STAGE3B2_CANDIDATE_CIK,AMZN,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Amazon.com Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,amazon com inc,amazon com,amazon com,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ANET,0001596532,STAGE3B2_CANDIDATE_CIK,ANET,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Arista Networks Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,arista networks inc,arista networks,arista networks,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ANSS,0001013462,STAGE3I_RESOLVED_CIK,ANSS,HIGH,0,2021-01-01,2025-07-18,2021-01-01,2025-07-18,ANSYS,STAGE3I_MEMBERSHIP_NAME,STABLE,ansys,ansys,ansys,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AON,0000315293,STAGE3B2_CANDIDATE_CIK,AON,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Aon PLC,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,aon plc,aon,aon plc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
