security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,eligible_anchor_windows,nonzero_anchor_windows,total_matched_source_document_weight,total_source_document_weight,any_nonzero_window_flag,two_plus_nonzero_windows_flag,nonzero_window_rate
GDDY,0001609711,GDDY,HIGH,2,2,12,1293786,1,1,1.0
GE,0000040545,GE,MEDIUM,5,3,20,3470614,1,1,0.6
GEHC,0001932393,GEHC,LOW,3,3,42,2112131,1,1,1.0
GEN,0000849399,GEN,MEDIUM,5,5,99,3470614,1,1,1.0
GEV,0001996810,GEV,MEDIUM,2,2,30,1293786,1,1,1.0
GILD,0000882095,GILD,MEDIUM,5,5,381,3470614,1,1,1.0
GIS,0000040704,GIS,MEDIUM,5,3,7,3470614,1,1,0.6
GL,0000320335,GL,MEDIUM,5,4,12,3470614,1,1,0.8
GLW,0000024741,GLW,HIGH,5,5,56,3470614,1,1,1.0
GM,0001467858,GM,MEDIUM,5,5,106,3470614,1,1,1.0
GNRC,0001474735,GNRC,HIGH,4,3,28,2701747,1,1,0.75
GOOG,0001652044,GOOG,LOW,5,5,1329,3470614,1,1,1.0
GOOGL,0001652044,GOOGL,LOW,5,5,1329,3470614,1,1,1.0
GPC,0000040987,GPC,MEDIUM,5,5,41,3470614,1,1,1.0
GPN,0001123360,GPN,MEDIUM,5,5,36,3470614,1,1,1.0
GPS,0000039911,GPS,HIGH,1,1,75,768867,1,0,1.0
GRMN,0001121788,GRMN,HIGH,5,5,79,3470614,1,1,1.0
GS,0000886982,GS,LOW,5,5,4561,3470614,1,1,1.0
GWW,,GWW,MEDIUM,5,0,0,3470614,0,0,0.0
HAL,0000045012,HAL,HIGH,5,4,34,3470614,1,1,0.8
HAS,0000046080,HAS,HIGH,5,5,45,3470614,1,1,1.0
HBAN,0000049196,HBAN,MEDIUM,5,5,46,3470614,1,1,1.0
HBI,0001359841,HBI,HIGH,1,1,10,768867,1,0,1.0
HCA,0000860730,HCA,MEDIUM,5,2,9,3470614,1,1,0.4
HD,0000354950,HD,MEDIUM,5,5,138,3470614,1,1,1.0
HES,0000004447,HES,HIGH,4,4,91,2873133,1,1,1.0
HFC,0000048039,HFC,HIGH,1,1,9,768867,1,0,1.0
HIG,0000874766,HIG,LOW,5,5,58,3470614,1,1,1.0
HII,0001501585,HII,LOW,5,5,89,3470614,1,1,1.0
HLT,0001585689,HLT,LOW,5,5,80,3470614,1,1,1.0
HOLX,,HOLX,HIGH,5,5,99,3470614,1,1,1.0
HON,0000773840,HON,MEDIUM,5,5,734,3470614,1,1,1.0
HOOD,0001783879,HOOD,MEDIUM,1,1,29,597481,1,0,1.0
HPE,0001645590,HPE,LOW,5,5,114,3470614,1,1,1.0
HPQ,0000047217,HPQ,HIGH,5,5,183,3470614,1,1,1.0
HRL,0000048465,HRL,MEDIUM,5,5,125,3470614,1,1,1.0
HSIC,0001000228,HSIC,MEDIUM,5,5,44,3470614,1,1,1.0
HST,0001070750,HST,LOW,5,0,0,3470614,0,0,0.0
HSY,0000047111,HSY,LOW,5,5,161,3470614,1,1,1.0
HUBB,0000048898,HUBB,HIGH,2,2,4,1293786,1,1,1.0
HUM,0000049071,HUM,HIGH,5,5,74,3470614,1,1,1.0
HWM,0000004281,HWM,MEDIUM,5,5,51,3470614,1,1,1.0
IBKR,0001381197,IBKR,LOW,1,1,13,597481,1,0,1.0
IBM,0000051143,IBM,LOW,5,5,408,3470614,1,1,1.0
ICE,0001571949,ICE,LOW,5,5,244,3470614,1,1,1.0
IDXX,0000874716,IDXX,MEDIUM,5,4,9,3470614,1,1,0.8
IEX,0000832101,IEX,HIGH,5,1,1,3470614,1,0,0.2
IFF,0000051253,IFF,LOW,5,1,3,3470614,1,0,0.2
ILMN,0001110803,ILMN,HIGH,3,3,89,2176828,1,1,1.0
INCY,0000879169,INCY,HIGH,5,4,12,3470614,1,1,0.8
INFO,0001598014,INFO,MEDIUM,1,0,0,768867,0,0,0.0
INTC,0000050863,INTC,HIGH,5,5,508,3470614,1,1,1.0
INTU,0000896878,INTU,HIGH,5,5,103,3470614,1,1,1.0
INVH,,INVH,MEDIUM,3,2,3,2112131,1,1,0.6666666666666666
IP,,IP,MEDIUM,5,5,152,3470614,1,1,1.0
IPG,,IPG,MEDIUM,4,4,21,2873133,1,1,1.0
IPGP,0001111928,IPGP,MEDIUM,2,0,0,1358483,0,0,0.0
IQV,0001478242,IQV,HIGH,5,1,1,3470614,1,0,0.2
IR,0001699150,IR,MEDIUM,5,4,61,3470614,1,1,0.8
IRM,0001020569,IRM,MEDIUM,5,5,27,3470614,1,1,1.0
ISRG,0001035267,ISRG,MEDIUM,5,5,66,3470614,1,1,1.0
IT,0000749251,IT,HIGH,5,5,119,3470614,1,1,1.0
ITW,0000049826,ITW,LOW,5,5,89,3470614,1,1,1.0
IVZ,0000914208,IVZ,HIGH,5,5,686,3470614,1,1,1.0
J,0000052988,J,MEDIUM,5,4,28,3470614,1,1,0.8
JBHT,0000728535,JBHT,LOW,5,5,24,3470614,1,1,1.0
JBL,0000898293,JBL,HIGH,2,2,14,1293786,1,1,1.0
