security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution
DISCA,DISCA,Communication Services,3,-0.009521250480021413,0.009521250480021413,-0.0031737501600071377,-0.002850752079439302,-0.0036017375127497158,0.003032460623934569,0.009521250480021413,0.519078810625059
HSY,HSY,Consumer Staples,18,0.0008588849969260424,0.009505442456733449,4.771583316255791e-05,0.0011416573686970509,-0.0012605842663615426,0.00302742586423955,0.0008588849969260424,0.5221062364892985
ON,ON,Information Technology,17,0.0015292690353530093,0.009469916858088403,8.995700207958879e-05,0.0010921050631949357,-0.0018736124306324062,0.003016111176188977,0.0015292690353530093,0.5251223476654875
VLO,VLO,Energy,7,-0.004357019071204135,0.009367389380735782,-0.0006224312958863049,0.0013955883437572613,-0.004664902289006359,0.002983456795485985,0.004357019071204135,0.5281058044609734
FOXA,FOXA,Communication Services,10,0.00124265493815796,0.009354648005413002,0.00012426549381579598,0.002523983338073478,-0.002381264220219006,0.0029793987445984283,0.00124265493815796,0.5310852032055718
DD,DD,Materials,7,-0.0013729555531900863,0.009298144644856851,-0.00019613650759858376,0.0017670327753257573,-0.0032191994480853816,0.002961402766405644,0.0013729555531900863,0.5340466059719775
COR,COR,Health Care,31,0.001715286120217134,0.009190545767655158,5.533181032958497e-05,0.0009341266537758249,-0.000533803544064721,0.0029271331755595293,0.001715286120217134,0.536973739147537
PKG,PKG,Materials,12,-0.0014814435878349559,0.009160364470431701,-0.00012345363231957966,0.0009715270411172479,-0.001990881210094688,0.0029175206151504274,0.0014814435878349559,0.5398912597626874
DECK,DECK,Consumer Discretionary,9,-0.0026332280869272333,0.009129554888734001,-0.00029258089854747034,0.002752258923970044,-0.001802071913228811,0.0029077079499407244,0.0026332280869272333,0.5427989677126281
STX,STX,Information Technology,20,0.004404229956675285,0.009083478626747639,0.00022021149783376425,0.0024130057605511396,-0.0008638866208336202,0.0028930329395032905,0.004404229956675285,0.5456920006521314
NWSA,NWSA,Communication Services,12,-0.0012520255300471194,0.009065836721985293,-0.00010433546083725995,0.0016001727381209808,-0.0019624214295487848,0.002887414099663369,0.0012520255300471194,0.5485794147517948
BSX,BSX,Health Care,28,0.00411782399533222,0.009030016115744523,0.00014706514269043641,0.0008340403074304358,-0.0006475035220198447,0.0028760054534799156,0.00411782399533222,0.5514554202052747
TTWO,TTWO,Communication Services,8,-0.007358826893557132,0.0088788372055883,-0.0009198533616946415,0.00043994111727567106,-0.0030553860350648627,0.00282785588602761,0.007358826893557132,0.5542832760913023
DXCM,DXCM,Health Care,11,-0.006988441749615924,0.008748076092376492,-0.0006353128863287203,0.0006076665711240221,-0.002096893082573178,0.0027862092632663774,0.006988441749615924,0.5570694853545687
DFS,DFS,Financials,21,0.0028659258994945657,0.008692986668797125,0.0001364726618806936,0.0010284521112973405,-0.000896432399854993,0.002768663615438897,0.0028659258994945657,0.5598381489700076
GRMN,GRMN,Consumer Discretionary,15,0.000507045022585305,0.008675565977205152,3.3803001505686995e-05,0.0013407962453898406,-0.0010984235348601849,0.002763115230654229,0.000507045022585305,0.5626012642006618
DHI,DHI,Consumer Discretionary,17,0.0002756572726397712,0.008661891709675216,1.6215133684692425e-05,0.0010907863019151865,-0.0008493227339986333,0.0027587600592476275,0.0002756572726397712,0.5653600242599094
CMG,CMG,Consumer Discretionary,16,-0.0016555652282496198,0.008582399211115881,-0.00010347282676560124,0.0014003807542734873,-0.0013420570258386086,0.002733442179806773,0.0016555652282496198,0.5680934664397161
SHW,SHW,Materials,11,-0.004404732921837832,0.008455406150967444,-0.0004004302656216211,0.001583632961597351,-0.0015546601306274262,0.0026929956591295622,0.004404732921837832,0.5707864620988458
