analysis_month_number,ranking_month_end_date,security_key,project_ticker,gics_sector,sector_momentum_quintile,sector_neutral_leg_weight
29,2023-05-31,AMP,AMP,Financials,5,0.006493506493506493
29,2023-05-31,AON,AON,Financials,5,0.006493506493506493
29,2023-05-31,CBOE,CBOE,Financials,5,0.006493506493506493
29,2023-05-31,EG,EG,Financials,5,0.006493506493506493
29,2023-05-31,FISV,FISV,Financials,5,0.006493506493506493
29,2023-05-31,GL,GL,Financials,5,0.006493506493506493
29,2023-05-31,MKTX,MKTX,Financials,5,0.006493506493506493
29,2023-05-31,MRSH,MRSH,Financials,5,0.006493506493506493
29,2023-05-31,PGR,PGR,Financials,5,0.006493506493506493
29,2023-05-31,V,V,Financials,5,0.006493506493506493
29,2023-05-31,WTW,WTW,Financials,5,0.006493506493506493
29,2023-05-31,BIIB,BIIB,Health Care,5,0.007575757575757576
29,2023-05-31,BSX,BSX,Health Care,5,0.007575757575757576
29,2023-05-31,CAH,CAH,Health Care,5,0.007575757575757576
29,2023-05-31,DXCM,DXCM,Health Care,5,0.007575757575757576
29,2023-05-31,GILD,GILD,Health Care,5,0.007575757575757576
29,2023-05-31,HCA,HCA,Health Care,5,0.007575757575757576
29,2023-05-31,ISRG,ISRG,Health Care,5,0.007575757575757576
29,2023-05-31,LLY,LLY,Health Care,5,0.007575757575757576
29,2023-05-31,MRK,MRK,Health Care,5,0.007575757575757576
29,2023-05-31,PODD,PODD,Health Care,5,0.007575757575757576
29,2023-05-31,SYK,SYK,Health Care,5,0.007575757575757576
29,2023-05-31,VRTX,VRTX,Health Care,5,0.007575757575757576
29,2023-05-31,AXON,AXON,Industrials,5,0.006060606060606061
29,2023-05-31,BA,BA,Industrials,5,0.006060606060606061
29,2023-05-31,CPRT,CPRT,Industrials,5,0.006060606060606061
29,2023-05-31,CSGP,CSGP,Industrials,5,0.006060606060606061
29,2023-05-31,ETN,ETN,Industrials,5,0.006060606060606061
29,2023-05-31,GE,GE,Industrials,5,0.006060606060606061
29,2023-05-31,GWW,GWW,Industrials,5,0.006060606060606061
29,2023-05-31,HWM,HWM,Industrials,5,0.006060606060606061
29,2023-05-31,ODFL,ODFL,Industrials,5,0.006060606060606061
29,2023-05-31,PCAR,PCAR,Industrials,5,0.006060606060606061
29,2023-05-31,PWR,PWR,Industrials,5,0.006060606060606061
29,2023-05-31,ROK,ROK,Industrials,5,0.006060606060606061
29,2023-05-31,TDG,TDG,Industrials,5,0.006060606060606061
29,2023-05-31,TT,TT,Industrials,5,0.006060606060606061
29,2023-05-31,XYL,XYL,Industrials,5,0.006060606060606061
29,2023-05-31,ANET,ANET,Information Technology,5,0.007575757575757576
29,2023-05-31,ANSS,ANSS,Information Technology,5,0.007575757575757576
29,2023-05-31,CDNS,CDNS,Information Technology,5,0.007575757575757576
29,2023-05-31,CRM,CRM,Information Technology,5,0.007575757575757576
29,2023-05-31,FICO,FICO,Information Technology,5,0.007575757575757576
29,2023-05-31,FSLR,FSLR,Information Technology,5,0.007575757575757576
29,2023-05-31,MSI,MSI,Information Technology,5,0.007575757575757576
29,2023-05-31,NVDA,NVDA,Information Technology,5,0.007575757575757576
29,2023-05-31,ON,ON,Information Technology,5,0.007575757575757576
29,2023-05-31,ORCL,ORCL,Information Technology,5,0.007575757575757576
29,2023-05-31,SNPS,SNPS,Information Technology,5,0.007575757575757576
29,2023-05-31,VRSN,VRSN,Information Technology,5,0.007575757575757576
29,2023-05-31,APD,APD,Materials,5,0.018181818181818184
29,2023-05-31,LIN,LIN,Materials,5,0.018181818181818184
29,2023-05-31,NUE,NUE,Materials,5,0.018181818181818184
29,2023-05-31,PPG,PPG,Materials,5,0.018181818181818184
29,2023-05-31,STLD,STLD,Materials,5,0.018181818181818184
29,2023-05-31,EQIX,EQIX,Real Estate,5,0.015151515151515152
29,2023-05-31,IRM,IRM,Real Estate,5,0.015151515151515152
29,2023-05-31,O,O,Real Estate,5,0.015151515151515152
29,2023-05-31,PLD,PLD,Real Estate,5,0.015151515151515152
29,2023-05-31,SPG,SPG,Real Estate,5,0.015151515151515152
29,2023-05-31,VICI,VICI,Real Estate,5,0.015151515151515152
29,2023-05-31,AES,AES,Utilities,5,0.015151515151515152
29,2023-05-31,CEG,CEG,Utilities,5,0.015151515151515152
29,2023-05-31,EIX,EIX,Utilities,5,0.015151515151515152
29,2023-05-31,NEE,NEE,Utilities,5,0.015151515151515152
29,2023-05-31,PCG,PCG,Utilities,5,0.015151515151515152
29,2023-05-31,PNW,PNW,Utilities,5,0.015151515151515152
30,2023-06-30,IPG,IPG,Communication Services,5,0.022727272727272728
