security_key,project_ticker,winner_months,first_winner_month,last_winner_month,eligible_months,gics_sectors_seen,winner_sector_count,latest_winner_sector,max_consecutive_winner_streak,winner_share_of_eligible_months
BEN,BEN,2,27,28,60,Financials,1,Financials,2,0.03333333333333333
BLK,BLK,2,1,2,60,Financials,1,Financials,2,0.03333333333333333
IEX,IEX,2,26,27,60,Industrials,1,Industrials,2,0.03333333333333333
TFC,TFC,2,44,45,60,Financials,1,Financials,2,0.03333333333333333
TROW,TROW,2,1,2,60,Financials,1,Financials,2,0.03333333333333333
ZBH,ZBH,2,31,32,60,Health Care,1,Health Care,2,0.03333333333333333
XRAY,XRAY,2,4,7,39,Health Care,1,Health Care,1,0.05128205128205128
PXD,PXD,2,4,38,40,Energy,1,Energy,1,0.05
BIO,BIO,2,1,11,44,Health Care,1,Health Care,1,0.045454545454545456
AVB,AVB,2,35,50,60,Real Estate,1,Real Estate,1,0.03333333333333333
EMR,EMR,2,49,56,60,Industrials,1,Industrials,1,0.03333333333333333
FRT,FRT,2,10,41,60,Real Estate,1,Real Estate,1,0.03333333333333333
PEP,PEP,2,14,16,60,Consumer Staples,1,Consumer Staples,1,0.03333333333333333
PNC,PNC,2,44,46,60,Financials,1,Financials,1,0.03333333333333333
TDY,TDY,2,52,54,60,Information Technology,1,Information Technology,1,0.03333333333333333
YUM,YUM,2,18,25,60,Consumer Discretionary,1,Consumer Discretionary,1,0.03333333333333333
CRH,CRH,1,60,60,1,Materials,1,Materials,1,1.0
CVNA,CVNA,1,60,60,1,Consumer Discretionary,1,Consumer Discretionary,1,1.0
FIX,FIX,1,60,60,1,Industrials,1,Industrials,1,1.0
VAR,VAR,1,3,3,3,Health Care,1,Health Care,1,0.3333333333333333
WSM,WSM,1,58,58,10,Consumer Discretionary,1,Consumer Discretionary,1,0.1
LII,LII,1,49,49,13,Industrials,1,Industrials,1,0.07692307692307693
CTXS,CTXS,1,19,19,21,Information Technology,1,Information Technology,1,0.047619047619047616
