security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution,winner_months,eligible_months,winner_share_of_eligible_months,max_consecutive_winner_streak,winner_sector_count,latest_winner_sector,research_priority_rank,research_priority_band
PM,PM,Consumer Staples,22,0.0023695349181375,0.0155319016504394,0.0001077061326426,0.0021101484180257,-0.0014488737725179,0.0049468166254645,0.0023695349181375,0.3353308887816577,23,60,0.3833333333333333,17,1,Consumer Staples,45,TIER_3_REMAINDER
AXON,AXON,Industrials,25,0.0043696332398101,0.0150812513137944,0.0001747853295924,0.0027277517593743,-0.0015975759166551,0.0048032872220624,0.0043696332398101,0.3401341760037201,25,32,0.78125,18,1,Industrials,46,TIER_3_REMAINDER
PSKY,PSKY,Communication Services,6,-0.0093505046092595,0.0148576608535926,-0.0015584174348765,0.0011709833315629,-0.0057517773078701,0.0047320750143937,0.0093505046092595,0.3448662510181138,7,60,0.1166666666666666,4,1,Communication Services,47,TIER_3_REMAINDER
FANG,FANG,Energy,16,-0.0035178643920051,0.0146197633922534,-0.0002198665245003,0.0026459337340525,-0.0026498745077948,0.0046563061134958,0.0035178643920051,0.3495225571316097,16,60,0.2666666666666666,7,1,Energy,48,TIER_3_REMAINDER
EL,EL,Consumer Staples,14,0.0027803316302679,0.0144710614054891,0.0001985951164477,0.0031075803591956,-0.0023199402755561,0.0046089454311453,0.0027803316302679,0.354131502562755,15,60,0.25,11,1,Consumer Staples,49,TIER_3_REMAINDER
HWM,HWM,Industrials,41,0.0059237718039595,0.0142209111139215,0.0001444822391209,0.0015918755363631,-0.0007275184544096,0.0045292740780141,0.0059237718039595,0.3586607766407692,42,60,0.7,22,1,Industrials,50,TIER_3_REMAINDER
T,T,Communication Services,16,-0.003522699048347,0.0142124506175257,-0.0002201686905216,0.0025373020084999,-0.0028314643954309,0.0045265794611428,0.003522699048347,0.363187356101912,16,60,0.2666666666666666,10,1,Communication Services,51,TIER_3_REMAINDER
PLTR,PLTR,Information Technology,15,0.0114953507257084,0.0141115440454094,0.0007663567150472,0.0039332510115816,-0.0007804449945012,0.0044944413289425,0.0114953507257084,0.3676817974308545,16,16,1.0,16,1,Information Technology,52,TIER_3_REMAINDER
KMI,KMI,Energy,12,0.0034762090982244,0.0139767383820586,0.0002896840915187,0.0024897395901123,-0.0017627510625785,0.0044515065414529,0.0034762090982244,0.3721333039723075,12,60,0.2,9,1,Energy,53,TIER_3_REMAINDER
MO,MO,Consumer Staples,20,-0.0016364663591767,0.0136423353365173,-8.182331795883724e-05,0.0012198229935727,-0.002982307214853,0.0043450011963561,0.0016364663591767,0.3764783051686637,20,60,0.3333333333333333,12,1,Consumer Staples,54,TIER_3_REMAINDER
