security_key_a,ticker_a,security_key_b,ticker_b,winner_months_a,winner_months_b,cooccurring_winner_months,winner_month_jaccard
TRGP,TRGP,SPG,SPG,19,37,13,0.3023255813953488
NVDA,NVDA,WMB,WMB,39,17,13,0.3023255813953488
TSLA,TSLA,WELL,WELL,31,26,13,0.29545454545454547
IRM,IRM,FCX,FCX,42,19,13,0.2708333333333333
TSLA,TSLA,RCL,RCL,31,30,13,0.2708333333333333
FCX,FCX,LLY,LLY,19,43,13,0.2653061224489796
LYV,LYV,LLY,LLY,20,43,13,0.26
VST,VST,TRGP,TRGP,17,19,12,0.5
ALB,ALB,FCX,FCX,20,19,12,0.4444444444444444
FCX,FCX,ADM,ADM,19,23,12,0.4
TSLA,TSLA,FCX,FCX,31,19,12,0.3157894736842105
NRG,NRG,MPC,MPC,33,23,12,0.2727272727272727
ALB,ALB,SPG,SPG,20,37,12,0.26666666666666666
NRG,NRG,MOS,MOS,33,26,12,0.2553191489361702
DVN,DVN,NVDA,NVDA,22,39,12,0.24489795918367346
IRM,IRM,CF,CF,42,19,12,0.24489795918367346
IRM,IRM,LYV,LYV,42,20,12,0.24
MOS,MOS,NVDA,NVDA,26,39,12,0.22641509433962265
NEM,NEM,WELL,WELL,11,26,11,0.4230769230769231
NEM,NEM,CBRE,CBRE,11,29,11,0.3793103448275862
NEM,NEM,WMT,WMT,11,32,11,0.34375
MOS,MOS,FCX,FCX,26,19,11,0.3235294117647059
CEG,CEG,WMB,WMB,31,17,11,0.2972972972972973
TSLA,TSLA,WMB,WMB,31,17,11,0.2972972972972973
FCX,FCX,CBRE,CBRE,19,29,11,0.2972972972972973
TRGP,TRGP,CBRE,CBRE,19,29,11,0.2972972972972973
LYV,LYV,CBRE,CBRE,20,29,11,0.2894736842105263
NUE,NUE,CBRE,CBRE,26,29,11,0.25
VST,VST,ANET,ANET,17,39,11,0.24444444444444444
LYV,LYV,SPG,SPG,20,37,11,0.2391304347826087
FCX,FCX,ANET,ANET,19,39,11,0.23404255319148937
ALB,ALB,NVDA,NVDA,20,39,11,0.22916666666666666
ALB,ALB,ANET,ANET,20,39,11,0.22916666666666666
DVN,DVN,SPG,SPG,22,37,11,0.22916666666666666
NFLX,NFLX,TSLA,TSLA,29,31,11,0.22448979591836735
NVDA,NVDA,ADM,ADM,39,23,11,0.21568627450980393
TRGP,TRGP,WMB,WMB,19,17,10,0.38461538461538464
META,META,VST,VST,23,17,10,0.3333333333333333
ALB,ALB,LYV,LYV,20,20,10,0.3333333333333333
RCL,RCL,NEM,NEM,30,11,10,0.3225806451612903
NRG,NRG,NEM,NEM,33,11,10,0.29411764705882354
ALB,ALB,CBRE,CBRE,20,29,10,0.2564102564102564
LYV,LYV,COST,COST,20,30,10,0.25
DVN,DVN,CBRE,CBRE,22,29,10,0.24390243902439024
META,META,CBRE,CBRE,23,29,10,0.23809523809523808
MPC,MPC,COST,COST,23,30,10,0.23255813953488372
WMB,WMB,SPG,SPG,17,37,10,0.22727272727272727
VST,VST,IRM,IRM,17,42,10,0.20408163265306123
VST,VST,LLY,LLY,17,43,10,0.2
SPG,SPG,ADM,ADM,37,23,10,0.2
CEG,CEG,TSLA,TSLA,31,31,10,0.19230769230769232
VST,VST,NEM,NEM,17,11,9,0.47368421052631576
WMB,WMB,NEM,NEM,17,11,9,0.47368421052631576
FCX,FCX,LYV,LYV,19,20,9,0.3
TSLA,TSLA,NEM,NEM,31,11,9,0.2727272727272727
MPC,MPC,TRGP,TRGP,23,19,9,0.2727272727272727
VST,VST,TSLA,TSLA,17,31,9,0.23076923076923078
NRG,NRG,FCX,FCX,33,19,9,0.20930232558139536
ADM,ADM,CBRE,CBRE,23,29,9,0.20930232558139536
NRG,NRG,LYV,LYV,33,20,9,0.20454545454545456
NUE,NUE,COST,COST,26,30,9,0.19148936170212766
WMB,WMB,ANET,ANET,17,39,9,0.19148936170212766
CF,CF,NVDA,NVDA,19,39,9,0.1836734693877551
IRM,IRM,WMB,WMB,42,17,9,0.18
LLY,LLY,WMB,WMB,43,17,9,0.17647058823529413
TPL,TPL,WMB,WMB,8,17,8,0.47058823529411764
TPL,TPL,WELL,WELL,8,26,8,0.3076923076923077
TPL,TPL,CBRE,CBRE,8,29,8,0.27586206896551724
TPL,TPL,RCL,RCL,8,30,8,0.26666666666666666
ALB,ALB,CF,CF,20,19,8,0.25806451612903225
NFLX,NFLX,NEM,NEM,29,11,8,0.25
META,META,WMB,WMB,23,17,8,0.25
TPL,TPL,WMT,WMT,8,32,8,0.25
NUE,NUE,MPC,MPC,26,23,8,0.1951219512195122
FCX,FCX,COST,COST,19,30,8,0.1951219512195122
CF,CF,COST,COST,19,30,8,0.1951219512195122
TSLA,TSLA,TRGP,TRGP,31,19,8,0.19047619047619047
DVN,DVN,COST,COST,22,30,8,0.18181818181818182
COST,COST,ADM,ADM,30,23,8,0.17777777777777778
VST,VST,TPL,TPL,17,8,7,0.3888888888888889
TRGP,TRGP,TPL,TPL,19,8,7,0.35
NFLX,NFLX,TPL,TPL,29,8,7,0.23333333333333334
COST,COST,TPL,TPL,30,8,7,0.22580645161290322
TSLA,TSLA,TPL,TPL,31,8,7,0.21875
NRG,NRG,TPL,TPL,33,8,7,0.20588235294117646
CEG,CEG,NEM,NEM,31,11,7,0.2
NRG,NRG,ALB,ALB,33,20,7,0.15217391304347827
NRG,NRG,DVN,DVN,33,22,7,0.14583333333333334
MOS,MOS,COST,COST,26,30,7,0.14285714285714285
NUE,NUE,CEG,CEG,26,31,7,0.14
MOS,MOS,NEM,NEM,26,11,6,0.1935483870967742
FCX,FCX,CF,CF,19,19,6,0.1875
COST,COST,NEM,NEM,30,11,6,0.17142857142857143
NFLX,NFLX,FCX,FCX,29,19,6,0.14285714285714285
CF,CF,CBRE,CBRE,19,29,6,0.14285714285714285
SPG,SPG,NEM,NEM,37,11,6,0.14285714285714285
NFLX,NFLX,LYV,LYV,29,20,6,0.13953488372093023
ALB,ALB,COST,COST,20,30,6,0.13636363636363635
FCX,FCX,WMT,WMT,19,32,6,0.13333333333333333
NRG,NRG,CF,CF,33,19,6,0.13043478260869565
MOS,MOS,WELL,WELL,26,26,6,0.13043478260869565
NRG,NRG,ADM,ADM,33,23,6,0.12
MOS,MOS,RCL,RCL,26,30,6,0.12
CF,CF,SPG,SPG,19,37,6,0.12
MOS,MOS,WMT,WMT,26,32,6,0.11538461538461539
NUE,NUE,NRG,NRG,26,33,6,0.11320754716981132
TPL,TPL,NEM,NEM,8,11,5,0.35714285714285715
TRGP,TRGP,NEM,NEM,19,11,5,0.2
CEG,CEG,TPL,TPL,31,8,5,0.14705882352941177
META,META,FCX,FCX,23,19,5,0.13513513513513514
MOS,MOS,VST,VST,26,17,5,0.13157894736842105
TPL,TPL,NVDA,NVDA,8,39,5,0.11904761904761904
NUE,NUE,META,META,26,23,5,0.11363636363636363
FCX,FCX,RCL,RCL,19,30,5,0.11363636363636363
LYV,LYV,RCL,RCL,20,30,5,0.1111111111111111
NVDA,NVDA,NEM,NEM,39,11,5,0.1111111111111111
MPC,MPC,CBRE,CBRE,23,29,5,0.10638297872340426
LYV,LYV,WMT,WMT,20,32,5,0.10638297872340426
META,META,TSLA,TSLA,23,31,5,0.10204081632653061
NUE,NUE,NFLX,NFLX,26,29,5,0.1
NFLX,NFLX,MOS,MOS,29,26,5,0.1
CEG,CEG,MOS,MOS,31,26,5,0.09615384615384616
LYV,LYV,NEM,NEM,20,11,4,0.14814814814814814
VST,VST,LYV,LYV,17,20,4,0.12121212121212122
LYV,LYV,WMB,WMB,20,17,4,0.12121212121212122
VST,VST,MPC,MPC,17,23,4,0.1111111111111111
MPC,MPC,FCX,FCX,23,19,4,0.10526315789473684
MOS,MOS,WMB,WMB,26,17,4,0.10256410256410256
ALB,ALB,MPC,MPC,20,23,4,0.10256410256410256
MPC,MPC,ADM,ADM,23,23,4,0.09523809523809523
LYV,LYV,WELL,WELL,20,26,4,0.09523809523809523
TPL,TPL,ANET,ANET,8,39,4,0.09302325581395349
NFLX,NFLX,CF,CF,29,19,4,0.09090909090909091
MOS,MOS,MPC,MPC,26,23,4,0.08888888888888889
CEG,CEG,FCX,FCX,31,19,4,0.08695652173913043
CEG,CEG,CF,CF,31,19,4,0.08695652173913043
IRM,IRM,TPL,TPL,42,8,4,0.08695652173913043
CEG,CEG,LYV,LYV,31,20,4,0.0851063829787234
LLY,LLY,TPL,TPL,43,8,4,0.0851063829787234
TSLA,TSLA,MPC,MPC,31,23,4,0.08
WBD,WBD,NEM,NEM,3,11,3,0.2727272727272727
MOS,MOS,WBD,WBD,26,3,3,0.11538461538461539
WBD,WBD,WELL,WELL,3,26,3,0.11538461538461539
CF,CF,NEM,NEM,19,11,3,0.1111111111111111
META,META,TPL,TPL,23,8,3,0.10714285714285714
WBD,WBD,CBRE,CBRE,3,29,3,0.10344827586206896
CEG,CEG,WBD,WBD,31,3,3,0.0967741935483871
TSLA,TSLA,WBD,WBD,31,3,3,0.0967741935483871
WBD,WBD,WMT,WMT,3,32,3,0.09375
NRG,NRG,WBD,WBD,33,3,3,0.09090909090909091
VST,VST,CF,CF,17,19,3,0.09090909090909091
CF,CF,WMB,WMB,19,17,3,0.09090909090909091
SPG,SPG,WBD,WBD,37,3,3,0.08108108108108109
MPC,MPC,CF,CF,23,19,3,0.07692307692307693
META,META,LYV,LYV,23,20,3,0.075
FCX,FCX,WELL,WELL,19,26,3,0.07142857142857142
CF,CF,WELL,WELL,19,26,3,0.07142857142857142
TPL,TPL,SPG,SPG,8,37,3,0.07142857142857142
NFLX,NFLX,ALB,ALB,29,20,3,0.06521739130434782
CF,CF,RCL,RCL,19,30,3,0.06521739130434782
NEM,NEM,ANET,ANET,11,39,3,0.06382978723404255
CEG,CEG,ALB,ALB,31,20,3,0.0625
CF,CF,WMT,WMT,19,32,3,0.0625
NUE,NUE,RCL,RCL,26,30,3,0.05660377358490566
NUE,NUE,WMT,WMT,26,32,3,0.05454545454545454
VST,VST,WBD,WBD,17,3,2,0.1111111111111111
MPC,MPC,WBD,WBD,23,3,2,0.08333333333333333
RCL,RCL,WBD,WBD,30,3,2,0.06451612903225806
META,META,NEM,NEM,23,11,2,0.0625
MPC,MPC,NEM,NEM,23,11,2,0.0625
FCX,FCX,WMB,WMB,19,17,2,0.058823529411764705
ALB,ALB,WMB,WMB,20,17,2,0.05714285714285714
TRGP,TRGP,LYV,LYV,19,20,2,0.05405405405405406
META,META,CF,CF,23,19,2,0.05
NUE,NUE,WELL,WELL,26,26,2,0.04
ALB,ALB,WMT,WMT,20,32,2,0.04
IRM,IRM,NEM,NEM,42,11,2,0.0392156862745098
CEG,CEG,ADM,ADM,31,23,2,0.038461538461538464
LLY,LLY,NEM,NEM,43,11,2,0.038461538461538464
ADM,ADM,WMT,WMT,23,32,2,0.03773584905660377
WMB,WMB,WBD,WBD,17,3,1,0.05263157894736842
CF,CF,WBD,WBD,19,3,1,0.047619047619047616
LYV,LYV,WBD,WBD,20,3,1,0.045454545454545456
META,META,WBD,WBD,23,3,1,0.04
WBD,WBD,ADM,ADM,3,23,1,0.04
CF,CF,TPL,TPL,19,8,1,0.038461538461538464
LYV,LYV,TPL,TPL,20,8,1,0.037037037037037035
NFLX,NFLX,WBD,WBD,29,3,1,0.03225806451612903
MOS,MOS,TPL,TPL,26,8,1,0.030303030303030304
ADM,ADM,NEM,NEM,23,11,1,0.030303030303030304
VST,VST,FCX,FCX,17,19,1,0.02857142857142857
